,length,root,begin_id,volume
0,30,1,12000,0.5
1,30,1,15000,0.5
2,30,1,18000,0.5
3,30,12,12000,0.5
4,30,12,15000,0.5
5,30,12,18000,0.5
6,30,23,12000,0.5
7,30,23,15000,0.5
8,30,23,18000,0.5
9,60,9,14000,1.0
10,60,9,16000,1.0
11,60,9,19000,1.0
12,60,15,14000,1.0
13,60,15,16000,1.0
14,60,15,19000,1.0
15,60,27,14000,1.0
16,60,27,16000,1.0
17,60,27,19000,1.0
18,90,3,15000,2.0
19,90,3,17000,2.0
20,90,3,16000,2.0
21,90,14,15000,2.0
22,90,14,17000,2.0
23,90,14,16000,2.0
24,90,25,15000,2.0
25,90,25,17000,2.0
26,90,25,16000,2.0
